playlist_id,playlist_name,playlist_collab
1132,running 3,false
1186,Mondays,false
1187,Sept 2016,false
1434,Camp,false
1846,All Good,false
1938, Rock.....,false
2096,Thanksgiving,false
2103,Rap,false
2185,sun,false
2232,Fun.,false
2244,oldies,false
2316,My Country,false
2435,sophie,false
2512,Classic rock,false
2538,2015 Top Tracks,false
2598,Too Close,false
2711,lit list ,false
2742,edm,false
2872,smiles :))),false
2952,It's Time,false
3147,chill,false
3197,COUNTRY,false
3210,Jammin',false
3220,ROCKNROLL,false
3241,Heathens,false
3377,high,false
3522,country,false
3663,workout tunes,false
3883,broken. ,false
3976,Eminem,false
